Game URL,Vote_precentage
https://www.roblox.com/games/8651781069/Voxlblade-RELEASE?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=8651781069&position=97&universeId=3291589472,92%
https://www.roblox.com/games/4872321990/Islands-MINING-EVENT?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=4872321990&position=98&universeId=1659645941,89%
https://www.roblox.com/games/2727067538/World-Zero?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=2727067538&position=99&universeId=985731078,94%
https://www.roblox.com/games/12985361032/Metro-Life-RP?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=12985361032&position=100&universeId=4540138978,83%
https://www.roblox.com/games/4448566543/Banana-Eats?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=4448566543&position=101&universeId=1415710834,88%
https://www.roblox.com/games/5938036553/FRONTLINES?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=5938036553&position=102&universeId=2132866904,88%
https://www.roblox.com/games/10118559731/nicos-nextbots-ARCADE?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=10118559731&position=103&universeId=3717264063,92%
https://www.roblox.com/games/12915268415/Abandoned-Hospital-RolePlay?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=12915268415&position=104&universeId=4518911125,64%
https://www.roblox.com/games/8404684575/NEW-STORY-Short-Creepy-stories-Night-shift?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=8404684575&position=105&universeId=3215864160,77%
https://www.roblox.com/games/621129760/KAT?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=621129760&position=106&universeId=254394801,88%
